'Lab '	; Data Format
icEncodeValue	; Encoding

;Source Data Format: 'nmcl'
;Source Data Encoding: icEncodeValue
;Source data is after semicolon

;Profiles applied
; ICC/P-CMYK-S_Overprint_Profile.icc -PCC ICC/1-Lab_int-D93_2deg-MAT.icc
; ICC/1-Lab_int-D93_2deg-MAT.icc

   89.6593    7.4479   24.2767	;{ "Silver" }    1.0000
   95.1401    3.4329   26.1799	;{ "Silver" }    0.0000
